sentence1,sentence2,score,split,score_norm
Una alguno está doblando un pedazo de personaje.,Mortal está doblando un átomo de personaje.,4.667,train,0.9334
Un hombre está corriendo en la carretera.,Un perro panda está corriendo en la carretera.,1.667,train,0.3334
Un mundo está corriendo en la carretera.,Un can pandilla está corriendo en la carretera.,1.667,train,0.3334
Un hombre está corriendo en la camino real.,Un can panda está corriendo en la camino real.,1.667,train,0.3334
Un perro está tratando de quitarse el tocino de encima.,Un perro está tratando de comerse el tocino de su espalda.,3.75,train,0.75
Un perro está tratando de quitarse el tocino de encima.,Un can está tratando de anotar el tocino de su espalda.,3.75,train,0.75
Un can está tratando de quitarse el tocino de encima.,Un perro está tratando de anotar el tocino de su columna vertebral.,3.75,train,0.75
El oso polar se está deslizando en la nieve.,Un oso polar se está deslizando por la nieve.,5.0,train,1.0
Una mujer está escribiendo.,Una mujer está nadando.,0.5,train,0.1
Una hembra adulta está escribiendo.,Una hembra adulta está nadando.,0.5,train,0.1
Una hembra adulta está escribiendo.,Una mujer está nadando.,0.5,train,0.1
Un gato se está frotando contra la cara del bebé.,Un gato se está frotando contra un bebé.,3.8,train,0.76
Un gata se está frotando contra la apariencia del bebé.,Un gato se está frotando contra un bebé.,3.8,train,0.76
Un pájaro se está frotando contra la cara del bebé.,Un gato se está frotando contra un bebé.,3.8,train,0.76
El hombre está montando a caballo.,Un hombre está montando a caballo.,5.0,train,1.0
El hombre está montando a caballo.,Un humanidad está montando a caballería.,5.0,train,1.0
Un hombre vierte aceite en una olla.,Un hombre vierte vino en una olla.,3.2,train,0.64
Un humanidad vierte aceite en una olla.,Un mundo vierte vino en una olla.,3.2,train,0.64
Un hombre vierte aceite en una olla.,Un varón vierte vino en una olla.,3.2,train,0.64
Un hombre está tocando una guitarra.,Una chica está tocando una guitarra.,2.8,train,0.5599999999999999
Un panda se está deslizando por un tobogán.,Un panda se desliza por un tobogán.,4.6,train,0.92
Una mujer está comiendo algo.,Una mujer está comiendo carne.,3.0,train,0.6
Una hembra adulta está comiendo algo.,Una mujer está comiendo carne.,3.0,train,0.6
Una mujer pela una patata.,Una mujer está pelando una patata.,5.0,train,1.0
Una mujer pela una coño.,Una mujer está pelando una patata.,5.0,train,1.0
Una hembra adulta pela una almeja.,Una mujer está pelando una patata.,5.0,train,1.0
El chico se cayó de su bicicleta.,Un chico se cae de su bicicleta.,4.8,train,0.96
El chico se cayó de su bicicleta.,Un menor de edad se cae de su bicicleta.,4.8,train,0.96
El chico se cayó de su bicicleta.,Un cría se cae de su bicicleta.,4.8,train,0.96
La mujer está tocando la flauta.,Una mujer está tocando una flauta.,5.0,train,1.0
La hembra adulta está tocando la flauta.,Una mujer está tocando una flauta.,5.0,train,1.0
Un conejo está huyendo de un águila.,Una liebre está huyendo de un águila.,4.2,train,0.8400000000000001
Un patata está huyendo de un águila.,Una liebre está huyendo de un águila.,4.2,train,0.8400000000000001
La mujer está friendo una chuleta de cerdo empanizada.,Una mujer está cocinando una chuleta de cerdo empanizada.,4.2,train,0.8400000000000001
La mujer está friendo una chuleta de cerdo empanizada.,Una hembra adulta está cocinando una chuleta de cerdo empanizada.,4.2,train,0.8400000000000001
La hembra adulta está friendo una chuleta de cerdo empanizada.,Una mujer está cocinando una chuleta de cerdo empanizada.,4.2,train,0.8400000000000001
Una chica está volando una cometa.,Una chica corriendo está volando una cometa.,4.0,train,0.8
Una mujercita está volando una cometa.,Una chica corriendo está volando una cometa.,4.0,train,0.8
Un hombre está montando un toro mecánico.,Un hombre montaba un toro mecánico.,4.0,train,0.8
Un varón está montando un toro mecánico.,Un hombre montaba un toro mecánico.,4.0,train,0.8
El hombre está tocando la guitarra.,Un hombre está tocando una guitarra.,4.909,train,0.9818
El humanidad está tocando la guitarra.,Un hombre está tocando una guitarra.,4.909,train,0.9818
El esposo está tocando la guitarra.,Un hombre está tocando una guitarra.,4.909,train,0.9818
Una mujer está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la lluvia.,3.0,train,0.6
Una mujer está bailando y cantando con otras mujeres.,Una mujer está bailando y cantando bajo la aguacero.,3.0,train,0.6
Un hombre está cortando un bollo.,Un hombre está cortando una cebolla.,2.4,train,0.48
Un humanidad está cortando un bollo.,Un hombre está cortando una cebolla.,2.4,train,0.48
Un hombre está cortando un bollo.,Un varón está cortando una cebolla.,2.4,train,0.48
Un hombre está vertiendo aceite en una cacerola.,Un hombre está vertiendo aceite en una sartén.,4.2,train,0.8400000000000001
Un esposo está vertiendo aceite en una cacerola.,Un mundo está vertiendo aceite en una sartén.,4.2,train,0.8400000000000001
Un león está jugando con la gente.,Un león está jugando con dos hombres.,3.4,train,0.6799999999999999
Un león está jugando con la gente.,Un panthera leo está jugando con dos hombres.,3.4,train,0.6799999999999999
Un león está jugando con la masa.,Un panthera leo está jugando con dos hombres.,3.4,train,0.6799999999999999
Un perro monta un monopatín.,Un perro está montando un monopatín.,5.0,train,1.0
Un can monta un monopatín.,Un perro está montando un monopatín.,5.0,train,1.0
Alguien está tallando una estatua.,Un hombre está tallando una estatua.,3.75,train,0.75
Alguien está tallando una estatua.,Un humanidad está tallando una estatua.,3.75,train,0.75
Persona está tallando una estatua.,Un esposo está tallando una figura.,3.75,train,0.75
Una mujer está cortando una cebolla.,Un hombre está cortando una cebolla.,2.75,train,0.55
Una mujer está cortando una cebolla.,Un mundo está cortando una cebolla.,2.75,train,0.55
Una mujer pela camarones.,Una mujer está pelando camarones.,5.0,train,1.0
Una hembra adulta pela camarones.,Una hembra adulta está pelando camarones.,5.0,train,1.0
Una mujer pela camarones.,Una hembra adulta está pelando camarones.,5.0,train,1.0
Una mujer está friendo pescado.,Una mujer está cocinando pescado.,4.0,train,0.8
Una mujer está friendo pescado.,Una hembra adulta está cocinando pescado.,4.0,train,0.8
Una hembra adulta está friendo pescado.,Una hembra adulta está cocinando pescado.,4.0,train,0.8
Una mujer está tocando una guitarra eléctrica.,Una mujer está tocando una guitarra.,3.6,train,0.72
Una mujer está tocando una guitarra eléctrica.,Una hembra adulta está tocando una guitarra.,3.6,train,0.72
Un tigre bebé está jugando con una pelota.,Un bebé está jugando con una muñeca.,1.6,train,0.32
Un tigre bebé está jugando con una smoothie.,Un bebé está jugando con una tía.,1.6,train,0.32
Una persona está cortando un tomate.,Una persona está cortando algo de carne.,1.75,train,0.35
Una persona está cortando un tomate.,Una ser humano está cortando algo de figura.,1.75,train,0.35
Una persona está cortando un tomate.,Una creatura está cortando algo de cuerpo.,1.75,train,0.35
Una persona corta una cebolla.,Una persona está cortando una cebolla.,5.0,train,1.0
Una persona corta una cebolla.,Una criatura está cortando una cebolla.,5.0,train,1.0
Una alguien corta una cebolla.,Una persona está cortando una cebolla.,5.0,train,1.0
Un hombre está tocando el piano.,Una mujer está tocando el violín.,1.0,train,0.2
Un esposo está tocando el piano.,Una hembra adulta está tocando el violín.,1.0,train,0.2
Un mundo está tocando el piano.,Una hembra adulta está tocando el violín.,1.0,train,0.2
Una mujer está tocando la flauta.,Un hombre está tocando la guitarra.,1.0,train,0.2
Una hembra adulta está tocando la flauta.,Un hombre está tocando la guitarra.,1.0,train,0.2
Un hombre está cortando una patata.,Un hombre está cortando zanahorias.,2.375,train,0.475
Un varón está cortando una chocho.,Un mundo está cortando zanahorias.,2.375,train,0.475
Un marido está cortando una patata.,Un varón está cortando zanahorias.,2.375,train,0.475
Un niño está tocando la guitarra.,Un chico está tocando una guitarra.,3.8,train,0.76
Un muchachuelo está tocando la guitarra.,Un jovenzuelo está tocando una guitarra.,3.8,train,0.76
Un chico está tocando la guitarra.,Un hombre está tocando una guitarra.,3.2,train,0.64
Un jovenzuelo está tocando la guitarra.,Un esposo está tocando una guitarra.,3.2,train,0.64
Un mozalbete está tocando la guitarra.,Un marido está tocando una guitarra.,3.2,train,0.64
Un hombre está tocando la guitarra.,Un chico está tocando una guitarra.,3.2,train,0.64
Un humanidad está tocando la guitarra.,Un chico está tocando una guitarra.,3.2,train,0.64
Un esposo está tocando la guitarra.,Un muchacho está tocando una guitarra.,3.2,train,0.64
Un niño pequeño está tocando un teclado.,Un niño está jugando al teclado.,4.4,train,0.8800000000000001
Un niño escaso está tocando un teclado de piano.,Un cría está jugando al clave.,4.4,train,0.8800000000000001
Un menor de edad pequeño está tocando un teclado.,Un jovenzuelo está jugando al teclado de piano.,4.4,train,0.8800000000000001
Un hombre está tocando una guitarra.,Un hombre está tocando una guitarra eléctrica.,3.75,train,0.75
Un varón está tocando una guitarra.,Un mundo está tocando una guitarra eléctrica.,3.75,train,0.75
Un perro lame a un bebé.,Un perro está lamiendo a un bebé.,4.75,train,0.95
Un can lame a un bebé.,Un perro está lamiendo a un bebé.,4.75,train,0.95
Un can lame a un bebé.,Un can está lamiendo a un bebé.,4.75,train,0.95
Una mujer está cortando una cebolla.,Un hombre está cortando y cebando.,3.2,train,0.64
Una hembra adulta está cortando una cebolla.,Un marido está cortando y cebando.,3.2,train,0.64
Un hombre está tocando la guitarra.,Un hombre está tocando la batería.,1.556,train,0.3112
Un hombre está tocando la guitarra.,Un hombre está tocando la luces del proscenio.,1.556,train,0.3112
Un esposo está tocando la guitarra.,Un hombre está tocando la candilejas.,1.556,train,0.3112
Una mujer está cortando un pimiento.,Una mujer está cortando un pimiento rojo.,3.938,train,0.7876000000000001
Una hembra adulta está cortando un pimiento.,Una hembra adulta está cortando un pimiento rojo.,3.938,train,0.7876000000000001
Una hembra adulta está cortando un pimiento.,Una mujer está cortando un pimiento rojo.,3.938,train,0.7876000000000001
Un hombre está tocando la batería.,Un hombre toca el tambor.,5.0,train,1.0
Un hombre está tocando la candilejas.,Un hombre toca el tambor.,5.0,train,1.0
Un hombre está tocando la luces del proscenio.,Un humanidad toca el tambor.,5.0,train,1.0
Una mujer monta un caballo.,Una mujer está montando a caballo.,5.0,train,1.0
Una hembra adulta monta un caballo.,Una mujer está montando a caballo.,5.0,train,1.0
Una mujer monta un caballería.,Una mujer está montando a caballería montada.,5.0,train,1.0
Un hombre está comiendo un plátano junto a un árbol.,Un hombre está comiendo un plátano.,4.0,train,0.8
Un hombre está comiendo un plátano junto a un árbol.,Un esposo está comiendo un plátano.,4.0,train,0.8
Un hombre está comiendo un plátano junto a un árbol.,Un humanidad está comiendo un plátano.,4.0,train,0.8
Un gato está jugando con un teclado.,Un hombre está tocando dos teclados.,1.6,train,0.32
Un gato está jugando con un teclado.,Un esposo está tocando dos teclados.,1.6,train,0.32
Un pájaro está jugando con un teclado.,Un hombre está tocando dos teclados.,1.6,train,0.32
Un hombre corta un árbol con un hacha.,Un hombre cortó un árbol con un hacha.,4.75,train,0.95
Un hombre corta un árbol con un hacha.,Un varón cortó un árbol con un estrella.,4.75,train,0.95
Un hombre corta un árbol con un hacha.,Un hombre cortó un árbol con un estrella.,4.75,train,0.95
Un niño juega con un teléfono de juguete.,Un niño pequeño juega con un teléfono de juguete.,3.5,train,0.7
Un joven juega con un número de juguete.,Un niño escaso juega con un número de juguete.,3.5,train,0.7
Un niño varón juega con un número de juguete.,Un hijo escaso juega con un número de juguete.,3.5,train,0.7
Un hombre está montando una motocicleta.,Un hombre está montando a caballo.,1.4,train,0.2799999999999999
Un hombre está montando una motocicleta.,Un esposo está montando a heroína.,1.4,train,0.2799999999999999
Un humanidad está montando una motocicleta.,Un hombre está montando a caballo.,1.4,train,0.2799999999999999
Un hombre está montando una motocicleta.,Un hombre está montando a heroína.,1.4,train,0.2799999999999999
Un humanidad está montando una motocicleta.,Un hombre está montando a heroína.,1.4,train,0.2799999999999999
Una ardilla está girando en círculos.,Una ardilla corre en círculos.,4.0,train,0.8
Un hombre y una mujer se están besando.,Un hombre y una mujer se besan.,5.0,train,1.0
Un humanidad y una mujer se están besando.,Un esposo y una mujer se besan.,5.0,train,1.0
Un esposo y una mujer se están besando.,Un hombre y una hembra adulta se besan.,5.0,train,1.0
Un hombre se está subiendo a un coche.,Un hombre se está metiendo en un coche en un garaje.,3.833,train,0.7666000000000001
Un hombre se está subiendo a un coche.,Un mundo se está metiendo en un automotor en un garaje.,3.833,train,0.7666000000000001
Un mundo se está subiendo a un vagón.,Un marido se está metiendo en un vehículo en un garaje.,3.833,train,0.7666000000000001
Un hombre está bailando.,Un hombre está hablando.,0.6,train,0.12
Un esposo está bailando.,Un hombre está hablando.,0.6,train,0.12
Un hombre está tocando la guitarra y cantando.,Un hombre está tocando la guitarra.,2.917,train,0.5833999999999999
Un hombre está tocando la guitarra y cantando.,Un esposo está tocando la guitarra.,2.917,train,0.5833999999999999
Un esposo está tocando la guitarra y cantando.,Un hombre está tocando la guitarra.,2.917,train,0.5833999999999999
Una persona está cortando hongos.,Una persona está cortando setas con un cuchillo.,4.2,train,0.8400000000000001
Una creatura está cortando hongos.,Una alma está cortando setas con un cuchillo.,4.2,train,0.8400000000000001
Una persona está cortando hongos.,Una criatura está cortando setas con un cuchillo.,4.2,train,0.8400000000000001
Un cachorro de tigre está haciendo un sonido.,Un tigre está caminando por ahí.,2.0,train,0.4
Una persona está cortando cebollas.,Una persona está pelando una cebolla.,2.6,train,0.52
Una persona está cortando cebollas.,Una alma está pelando una cebolla.,2.6,train,0.52
Una alguno está cortando cebollas.,Una alguno está pelando una cebolla.,2.6,train,0.52
Un hombre está tocando el piano.,Un hombre está tocando la trompeta.,1.6,train,0.32
Un humanidad está tocando el piano.,Un hombre está tocando la trompeta.,1.6,train,0.32
Una mujer está pelando una patata.,Una mujer está pelando una manzana.,2.0,train,0.4
Una hembra adulta está pelando una patata.,Una hembra adulta está pelando una manzana.,2.0,train,0.4
Un pankda está comiendo bambú.,Un oso panda está comiendo algo de bambú.,4.2,train,0.8400000000000001
Un pankda está comiendo género arundinaria.,Un oso pandilla está comiendo algo de género arundinaria.,4.2,train,0.8400000000000001
Una persona está pelando una cebolla.,Una persona está pelando una berenjena.,2.0,train,0.4
Una criatura está pelando una cebolla.,Una creatura está pelando una berenjena.,2.0,train,0.4
Un mono empuja a otro mono.,El mono empujó al otro mono.,4.8,train,0.96
Un mono empuja a otro mono.,El mono empujó al otro simio.,4.8,train,0.96
Una ardilla corre en círculos.,Una ardilla se mueve en círculos.,4.4,train,0.8800000000000001
Un hombre se está atando el zapato.,Un hombre se ata el zapato.,5.0,train,1.0
Un niño está cantando y tocando el piano.,Un niño está tocando el piano.,3.0,train,0.6
Un perro está comiendo sandía.,Un perro está comiendo un pedazo de sandía.,4.25,train,0.85
Un perro está comiendo sandía.,Un can está comiendo un trozo de sandía.,4.25,train,0.85
Una mujer está cortando brócoli.,Una mujer está cortando el brócoli con un cuchillo.,4.25,train,0.85
Una hembra adulta está cortando brócoli.,Una hembra adulta está cortando el brócoli con un cuchillo.,4.25,train,0.85
Un hombre está pelando una patata.,Un hombre peló una patata.,3.8,train,0.76
Un humanidad está pelando una patata.,Un esposo peló una almeja.,3.8,train,0.76
Un hombre está pelando una chocho.,Un hombre peló una patata.,3.8,train,0.76
Una mujer está tocando una guitarra.,Un hombre toca la guitarra.,2.4,train,0.48
Una hembra adulta está tocando una guitarra.,Un humanidad toca la guitarra.,2.4,train,0.48
Una mujer está cortando tomates.,Un hombre está cortando cebolla.,1.6,train,0.32
Una hembra adulta está cortando tomates.,Un humanidad está cortando cebolla.,1.6,train,0.32
Un hombre nada bajo el agua.,Una mujer está nadando bajo el agua.,2.0,train,0.4
Un mundo nada bajo el agua.,Una hembra adulta está nadando bajo el agua.,2.0,train,0.4
Un hombre nada bajo el masa de agua.,Una hembra adulta está nadando bajo el agua de lluvia.,2.0,train,0.4
Un hombre y una mujer están hablando.,Un hombre y una mujer están comiendo.,1.6,train,0.32
Un marido y una mujer están hablando.,Un hombre y una hembra adulta están comiendo.,1.6,train,0.32
Un hombre y una mujer están hablando.,Un humanidad y una mujer están comiendo.,1.6,train,0.32
Un pequeño perro está persiguiendo una pelota de yoga.,Un perro está persiguiendo una pelota.,4.0,train,0.8
Un escaso can está persiguiendo una smoothie de yoga.,Un perro está persiguiendo una pelota.,4.0,train,0.8
Un escaso perro está persiguiendo una pelota de yoga.,Un can está persiguiendo una balón.,4.0,train,0.8
Los hombres están jugando al cricket.,Los hombres están jugando al baloncesto.,2.2,train,0.44
Un hombre se va en una motocicleta.,Un hombre va en una motocicleta.,4.4,train,0.8800000000000001
Un hombre se va en una motocicleta.,Un varón va en una motocicleta.,4.4,train,0.8800000000000001
Un hombre se va en una motocicleta.,Un mundo va en una motocicleta.,4.4,train,0.8800000000000001
Un hombre está tocando una guitarra.,Un hombre está cantando y tocando la guitarra.,3.6,train,0.72
Un varón está tocando una guitarra.,Un esposo está cantando y tocando la guitarra.,3.6,train,0.72
El hombre habló por teléfono.,El hombre está hablando por teléfono.,3.6,train,0.72
El mundo habló por teléfono.,El varón está hablando por teléfono.,3.6,train,0.72
Un hombre está pescando.,Un hombre está haciendo ejercicio.,0.5,train,0.1
Un mundo está pescando.,Un hombre está haciendo entrenamiento.,0.5,train,0.1
Un hombre está pescando.,Un mundo está haciendo ejercicio.,0.5,train,0.1
Un hombre está levitando.,Un hombre está hablando.,0.8,train,0.16
Un humanidad está levitando.,Un marido está hablando.,0.8,train,0.16
Un hombre está levitando.,Un marido está hablando.,0.8,train,0.16
Dos chicos están conduciendo.,Dos bahías están bailando.,0.6,train,0.12
Un hombre está montando a caballo.,Una chica está montando a caballo.,2.6,train,0.52
Un hombre está montando a caballo.,Una mujercita está montando a caballo.,2.6,train,0.52
Un humanidad está montando a caballo.,Una mujercita está montando a caballo.,2.6,train,0.52
Un hombre está montando en bicicleta.,Un mono está montando una bicicleta.,2.0,train,0.4
Un humanidad está montando en bicicleta.,Un mono está montando una bicicleta.,2.0,train,0.4
Un hombre está cortando patatas.,Una mujer está pelando patatas.,2.2,train,0.44
Un hombre está cortando patatas.,Una hembra adulta está pelando patatas.,2.2,train,0.44
Una mujer está pelando una patata.,Un hombre está cortando patatas.,2.4,train,0.48
Una hembra adulta está pelando una conejo.,Un hombre está cortando patatas.,2.4,train,0.48
Una mujer está pelando una chocho.,Un marido está cortando patatas.,2.4,train,0.48
Un hombre está tocando una guitarra.,Someoen está tocando la guitarra.,3.6,train,0.72
Un humanidad está tocando una guitarra.,Someoen está tocando la guitarra.,3.6,train,0.72
Un marido está tocando una guitarra.,Someoen está tocando la guitarra.,3.6,train,0.72
Una mujer está cortando un puerro.,Una mujer está cortando jengibre.,2.2,train,0.44
Una hembra adulta está cortando un puerro.,Una mujer está cortando jengibre.,2.2,train,0.44
El hombre cortó un plato de papel.,Un hombre está cortando un plato de papel.,4.8,train,0.96
El esposo cortó un fuente de figura.,Un hombre está cortando un plato de función.,4.8,train,0.96
El varón cortó un fuente de papel.,Un hombre está cortando un plato de papel.,4.8,train,0.96
El hombre está tocando la guitarra.,Un hombre está tocando la flauta.,1.643,train,0.3286
El hombre está tocando la guitarra.,Un mundo está tocando la flauta.,1.643,train,0.3286
El varón está tocando la guitarra.,Un hombre está tocando la flauta.,1.643,train,0.3286
Un hombre está tocando el piano.,El hombre está tocando el violín.,1.75,train,0.35
Un mundo está tocando el piano.,El esposo está tocando el violín.,1.75,train,0.35
Un hombre está tocando el piano.,El varón está tocando el violín.,1.75,train,0.35
Una mujer está cortando carne.,Una mujer está empanando algo de carne.,2.25,train,0.45
Una mujer está cortando carne.,Una hembra adulta está empanando algo de físico.,2.25,train,0.45
Una hembra adulta está cortando figura.,Una hembra adulta está empanando algo de carne.,2.25,train,0.45
Un hombre está tocando en su teclado.,Un hombre está tocando un teclado de piano.,4.0,train,0.8
Un marido está tocando en su teclado.,Un varón está tocando un teclado de piano.,4.0,train,0.8
Un hombre está tocando en su teclado.,Un varón está tocando un teclado de piano de piano.,4.0,train,0.8
La señora cortó las cebollas de verdeo.,La señora cortó una cebolla verde.,4.8,train,0.96
La sra cortó las cebollas de verdeo.,La sra cortó una cebolla crudo.,4.8,train,0.96
Alguien está sentando fideos en el agua.,Una mujer está hirviendo fideos en agua.,3.2,train,0.64
Humano está sentando fideos en el agua.,Una hembra adulta está hirviendo fideos en agua.,3.2,train,0.64
Alguien está sentando fideos en el agua.,Una hembra adulta está hirviendo fideos en agua.,3.2,train,0.64
Lionel Richie está bailando en el techo.,Lionel Ritchie baila mientras está de pie en el techo.,4.0,train,0.8
Lionel Richie está bailando en el cubierta.,Lionel Ritchie baila mientras está de mano en el cubierta.,4.0,train,0.8
Lionel Richie está bailando en el cubierta.,Lionel Ritchie baila mientras está de cimiento en el tejado.,4.0,train,0.8
Un hombre está tocando el piano.,Una persona está tocando el piano.,4.4,train,0.8800000000000001
Un marido está tocando el piano.,Una persona está tocando el piano.,4.4,train,0.8800000000000001
Una mujer está tocando la flauta.,Una mujer toca la flauta.,4.6,train,0.92
Una hembra adulta está tocando la flauta.,Una hembra adulta toca la flauta.,4.6,train,0.92
Un chico está revisando un calendario.,Un chico está mirando un calendario.,3.8,train,0.76
Un chico está revisando un calendario.,Un joven está mirando un calendario.,3.8,train,0.76
Un mozalbete está revisando un calendario.,Un niño varón está mirando un calendario.,3.8,train,0.76
Una mujer está cortando una cebolla.,Una mujer está cortando cebollas.,4.8,train,0.96
Una hembra adulta está cortando una cebolla.,Una mujer está cortando cebollas.,4.8,train,0.96
Una hembra adulta está cortando una cebolla.,Una hembra adulta está cortando cebollas.,4.8,train,0.96
Un hombre está tocando la guitarra.,Un hombre toca la guitarra.,4.857,train,0.9714
Una mujer está usando una máquina de coser.,Una mujer está cosiendo en una máquina.,5.0,train,1.0
Una hembra adulta está usando una auto de coser.,Una hembra adulta está cosiendo en una máquina.,5.0,train,1.0
Una mujer está usando una máquina de coser.,Una mujer está cosiendo en una auto.,5.0,train,1.0
Una mujer está volteando panqueques.,Un chef de dibujos animados está haciendo panqueques.,2.533,train,0.5065999999999999
Un hombre está corriendo en la carretera.,Un coche está conduciendo por la carretera.,1.0,train,0.2
Un esposo está corriendo en la carretera.,Un automotor está conduciendo por la autopista.,1.0,train,0.2
Un hombre está montando a caballo.,Un hombre está hablando por teléfono.,1.0,train,0.2
Un hombre está montando a caballo.,Un hombre está hablando por número.,1.0,train,0.2
Un hombre está montando a caballo.,Un humanidad está hablando por número.,1.0,train,0.2
Un hombre está montando en bicicleta.,Un hombre está montando a caballo.,2.0,train,0.4
Un mundo está montando en bicicleta.,Un esposo está montando a caballería montada.,2.0,train,0.4
Un mundo está montando en bicicleta.,Un hombre está montando a caballo.,2.0,train,0.4
Una mujer está bailando.,Un hombre está comiendo.,0.143,train,0.0285999999999999
Una mujer está bailando.,Un varón está comiendo.,0.143,train,0.0285999999999999
Un hombre está tocando el piano.,Un hombre está tocando una flauta.,2.0,train,0.4
Un esposo está tocando el piano.,Un hombre está tocando una flauta.,2.0,train,0.4
Un hombre está tocando una flauta.,Un hombre está tocando el piano.,1.6,train,0.32
Un hombre está tocando una flauta.,Un mundo está tocando el piano.,1.6,train,0.32
Un hombre está tocando una flauta.,Un esposo está tocando el piano.,1.6,train,0.32
Un hombre está girando.,Un hombre está bailando.,1.6,train,0.32
Un esposo está girando.,Un esposo está bailando.,1.6,train,0.32
Un mono se balancea de miembro a miembro.,Un mono se balancea de árbol en árbol.,3.4,train,0.6799999999999999
Un simio se balancea de miembro a miembro.,Un mono se balancea de árbol en árbol.,3.4,train,0.6799999999999999
La gente se bajó del tren.,La gente se bajó del tren en la estación.,4.0,train,0.8
La gente se bajó del tren.,La pueblo se bajó del ferrocarril en la estación.,4.0,train,0.8
La pueblo se bajó del ferrocarril.,La multitud se bajó del tren en la estación.,4.0,train,0.8
Un perro está saltando en un trampolín.,Un perro rebota en un trampolín.,4.8,train,0.96
Un perro está saltando en un trampolín.,Un can rebota en un trampolín.,4.8,train,0.96
Un niño está tocando un instrumento.,Un hombre está tocando una trompeta.,2.5,train,0.5
Un mozalbete está tocando un utensilio.,Un mundo está tocando una trompeta.,2.5,train,0.5
Una mujer toca la guitarra.,Un hombre canta y toca la guitarra.,1.75,train,0.35
Una mujer toca la guitarra.,Un esposo canta y toca la guitarra.,1.75,train,0.35
Una mujer está eligiendo una lata.,Una mujer está cortando un tomate.,1.0,train,0.2
Una hembra adulta está eligiendo una lata.,Una hembra adulta está cortando un tomate.,1.0,train,0.2
Una hembra adulta está eligiendo una lata.,Una mujer está cortando un tomate.,1.0,train,0.2
Un hombre está escalando una cuerda.,Un hombre sube por una cuerda.,5.0,train,1.0
Un esposo está escalando una cuerda.,Un mundo sube por una cordón.,5.0,train,1.0
Un hombre está escalando una cuerda.,Un hombre sube por una maroma.,5.0,train,1.0
Un hombre está levantando un coche.,Un hombre está escalando una pared.,1.4,train,0.2799999999999999
