sentence1,sentence2,score,split,score_norm
Una persona está cortando un tomate.,Una persona está cortando algo de carne.,1.75,train,0.35
Una persona está cortando un tomate.,Una humano está cortando algo de figura.,1.75,train,0.35
Una creatura está cortando un tomate.,Una persona está cortando algo de carne.,1.75,train,0.35
Una persona corta una cebolla.,Una persona está cortando una cebolla.,5.0,train,1.0
Una mortal corta una cebolla.,Una persona está cortando una cebolla.,5.0,train,1.0
Una alguien corta una cebolla.,Una persona está cortando una cebolla.,5.0,train,1.0
Un hombre está tocando el piano.,Una mujer está tocando el violín.,1.0,train,0.2
Un marido está tocando el piano.,Una mujer está tocando el violín.,1.0,train,0.2
Un humanidad está tocando el piano.,Una hembra adulta está tocando el violín.,1.0,train,0.2
Una mujer está tocando la flauta.,Un hombre está tocando la guitarra.,1.0,train,0.2
Una mujer está tocando la flauta.,Un esposo está tocando la guitarra.,1.0,train,0.2
Una mujer está tocando la flauta.,Un humanidad está tocando la guitarra.,1.0,train,0.2
Un hombre está cortando una patata.,Un hombre está cortando zanahorias.,2.375,train,0.475
Un hombre está cortando una conejo.,Un hombre está cortando zanahorias.,2.375,train,0.475
Un varón está cortando una patata.,Un hombre está cortando zanahorias.,2.375,train,0.475
Un niño está tocando la guitarra.,Un chico está tocando una guitarra.,3.8,train,0.76
Un menor de edad está tocando la guitarra.,Un muchacho está tocando una guitarra.,3.8,train,0.76
Un niño está tocando la guitarra.,Un chiquillo está tocando una guitarra.,3.8,train,0.76
Un chico está tocando la guitarra.,Un hombre está tocando una guitarra.,3.2,train,0.64
Un muchachuelo está tocando la guitarra.,Un hombre está tocando una guitarra.,3.2,train,0.64
Un chico está tocando la guitarra.,Un humanidad está tocando una guitarra.,3.2,train,0.64
Un hombre está tocando la guitarra.,Un chico está tocando una guitarra.,3.2,train,0.64
Un hombre está tocando la guitarra.,Un cría está tocando una guitarra.,3.2,train,0.64
Un niño pequeño está tocando un teclado.,Un niño está jugando al teclado.,4.4,train,0.8800000000000001
Un jovenzuelo pequeño está tocando un clave.,Un mozalbete está jugando al teclado.,4.4,train,0.8800000000000001
Un muchacho menudo está tocando un teclado.,Un niño está jugando al teclado de piano.,4.4,train,0.8800000000000001
Un hombre está tocando una guitarra.,Un hombre está tocando una guitarra eléctrica.,3.75,train,0.75
Un humanidad está tocando una guitarra.,Un hombre está tocando una guitarra eléctrica.,3.75,train,0.75
Un marido está tocando una guitarra.,Un varón está tocando una guitarra eléctrica.,3.75,train,0.75
Un perro lame a un bebé.,Un perro está lamiendo a un bebé.,4.75,train,0.95
Un can lame a un bebé.,Un perro está lamiendo a un bebé.,4.75,train,0.95
Un can lame a un bebé.,Un can está lamiendo a un bebé.,4.75,train,0.95
Una mujer está cortando una cebolla.,Un hombre está cortando y cebando.,3.2,train,0.64
Una hembra adulta está cortando una cebolla.,Un humanidad está cortando y cebando.,3.2,train,0.64
Una hembra adulta está cortando una cebolla.,Un hombre está cortando y cebando.,3.2,train,0.64
Un hombre está tocando la guitarra.,Un hombre está tocando la batería.,1.556,train,0.3112
Un hombre está tocando la guitarra.,Un hombre está tocando la luces del proscenio.,1.556,train,0.3112
Un hombre está tocando la guitarra.,Un varón está tocando la candilejas.,1.556,train,0.3112
Una mujer está cortando un pimiento.,Una mujer está cortando un pimiento rojo.,3.938,train,0.7876000000000001
Una mujer está cortando un pimiento.,Una hembra adulta está cortando un pimiento rojo.,3.938,train,0.7876000000000001
Un hombre está tocando la batería.,Un hombre toca el tambor.,5.0,train,1.0
Un hombre está tocando la candilejas.,Un mundo toca el tambor.,5.0,train,1.0
Un esposo está tocando la batería.,Un esposo toca el tambor.,5.0,train,1.0
Una mujer monta un caballo.,Una mujer está montando a caballo.,5.0,train,1.0
Una hembra adulta monta un caballo.,Una mujer está montando a caballería montada.,5.0,train,1.0
Un hombre está comiendo un plátano junto a un árbol.,Un hombre está comiendo un plátano.,4.0,train,0.8
Un hombre está comiendo un plátano junto a un árbol.,Un marido está comiendo un plátano.,4.0,train,0.8
Un gato está jugando con un teclado.,Un hombre está tocando dos teclados.,1.6,train,0.32
Un gata está jugando con un clave.,Un hombre está tocando dos teclados.,1.6,train,0.32
Un gato está jugando con un teclado.,Un humanidad está tocando dos teclados.,1.6,train,0.32
Un hombre corta un árbol con un hacha.,Un hombre cortó un árbol con un hacha.,4.75,train,0.95
Un esposo corta un árbol con un hacha.,Un hombre cortó un árbol con un genio.,4.75,train,0.95
Un esposo corta un árbol con un hacha.,Un hombre cortó un árbol con un hacha.,4.75,train,0.95
Un niño juega con un teléfono de juguete.,Un niño pequeño juega con un teléfono de juguete.,3.5,train,0.7
Un alevín juega con un teléfono de juguete.,Un chiqelo escaso juega con un número de juguete.,3.5,train,0.7
Un jovenzuelo juega con un teléfono de juguete.,Un niño escaso juega con un número de juguete.,3.5,train,0.7
Un hombre está montando una motocicleta.,Un hombre está montando a caballo.,1.4,train,0.2799999999999999
Un humanidad está montando una motocicleta.,Un mundo está montando a caballería.,1.4,train,0.2799999999999999
Un hombre está montando una motocicleta.,Un esposo está montando a heroína.,1.4,train,0.2799999999999999
Un hombre está montando una motocicleta.,Un humanidad está montando a caballería.,1.4,train,0.2799999999999999
Un varón está montando una motocicleta.,Un hombre está montando a caballo.,1.4,train,0.2799999999999999
Una ardilla está girando en círculos.,Una ardilla corre en círculos.,4.0,train,0.8
Un hombre y una mujer se están besando.,Un hombre y una mujer se besan.,5.0,train,1.0
Un humanidad y una mujer se están besando.,Un mundo y una mujer se besan.,5.0,train,1.0
Un esposo y una hembra adulta se están besando.,Un hombre y una hembra adulta se besan.,5.0,train,1.0
Un hombre se está subiendo a un coche.,Un hombre se está metiendo en un coche en un garaje.,3.833,train,0.7666000000000001
Un esposo se está subiendo a un coche.,Un marido se está metiendo en un coche en un garaje.,3.833,train,0.7666000000000001
Un hombre se está subiendo a un coche.,Un humanidad se está metiendo en un vagón de pasajeros en un garaje.,3.833,train,0.7666000000000001
Un hombre está bailando.,Un hombre está hablando.,0.6,train,0.12
Un hombre está bailando.,Un varón está hablando.,0.6,train,0.12
Un esposo está bailando.,Un hombre está hablando.,0.6,train,0.12
Un hombre está tocando la guitarra y cantando.,Un hombre está tocando la guitarra.,2.917,train,0.5833999999999999
Un hombre está tocando la guitarra y cantando.,Un esposo está tocando la guitarra.,2.917,train,0.5833999999999999
Un hombre está tocando la guitarra y cantando.,Un marido está tocando la guitarra.,2.917,train,0.5833999999999999
Una persona está cortando hongos.,Una persona está cortando setas con un cuchillo.,4.2,train,0.8400000000000001
Una mortal está cortando hongos.,Una persona está cortando setas con un cuchillo.,4.2,train,0.8400000000000001
Una persona está cortando hongos.,Una alguien está cortando setas con un cuchillo.,4.2,train,0.8400000000000001
Un cachorro de tigre está haciendo un sonido.,Un tigre está caminando por ahí.,2.0,train,0.4
Un cachorro de tigre está haciendo un audio.,Un tigre está caminando por ahí.,2.0,train,0.4
Una persona está cortando cebollas.,Una persona está pelando una cebolla.,2.6,train,0.52
Una creatura está cortando cebollas.,Una alguno está pelando una cebolla.,2.6,train,0.52
Un hombre está tocando el piano.,Un hombre está tocando la trompeta.,1.6,train,0.32
Un varón está tocando el piano.,Un hombre está tocando la trompeta.,1.6,train,0.32
Un varón está tocando el piano.,Un varón está tocando la trompeta.,1.6,train,0.32
Una mujer está pelando una patata.,Una mujer está pelando una manzana.,2.0,train,0.4
Una mujer está pelando una patata.,Una hembra adulta está pelando una manzana.,2.0,train,0.4
Una hembra adulta está pelando una conejo.,Una mujer está pelando una manzana.,2.0,train,0.4
Un pankda está comiendo bambú.,Un oso panda está comiendo algo de bambú.,4.2,train,0.8400000000000001
Un pankda está comiendo arundinaria.,Un oso panda está comiendo algo de género arundinaria.,4.2,train,0.8400000000000001
Una persona está pelando una cebolla.,Una persona está pelando una berenjena.,2.0,train,0.4
Una mortal está pelando una cebolla.,Una mortal está pelando una berenjena.,2.0,train,0.4
Una persona está pelando una cebolla.,Una criatura está pelando una berenjena.,2.0,train,0.4
Un mono empuja a otro mono.,El mono empujó al otro mono.,4.8,train,0.96
Un mono empuja a otro mono.,El overol empujó al otro overol.,4.8,train,0.96
Un mono empuja a otro simio.,El overol empujó al otro overol.,4.8,train,0.96
Una ardilla corre en círculos.,Una ardilla se mueve en círculos.,4.4,train,0.8800000000000001
Un hombre se está atando el zapato.,Un hombre se ata el zapato.,5.0,train,1.0
Un mundo se está atando el zapato.,Un hombre se ata el zapato.,5.0,train,1.0
Un marido se está atando el zapato.,Un varón se ata el zapato.,5.0,train,1.0
Un niño está cantando y tocando el piano.,Un niño está tocando el piano.,3.0,train,0.6
Un crío está cantando y tocando el piano.,Un alevín está tocando el piano.,3.0,train,0.6
Un pececillo está cantando y tocando el piano.,Un alevín está tocando el piano.,3.0,train,0.6
Un perro está comiendo sandía.,Un perro está comiendo un pedazo de sandía.,4.25,train,0.85
Un can está comiendo sandía.,Un perro está comiendo un pedazo de sandía.,4.25,train,0.85
Un can está comiendo sandía.,Un can está comiendo un pizca de sandía.,4.25,train,0.85
Una mujer está cortando brócoli.,Una mujer está cortando el brócoli con un cuchillo.,4.25,train,0.85
Una hembra adulta está cortando brócoli.,Una hembra adulta está cortando el brócoli con un cuchillo.,4.25,train,0.85
Una hembra adulta está cortando brócoli.,Una mujer está cortando el brócoli con un cuchillo.,4.25,train,0.85
Un hombre está pelando una patata.,Un hombre peló una patata.,3.8,train,0.76
Un mundo está pelando una chocho.,Un hombre peló una chocho.,3.8,train,0.76
Un hombre está pelando una patata.,Un esposo peló una conejo.,3.8,train,0.76
Una mujer está tocando una guitarra.,Un hombre toca la guitarra.,2.4,train,0.48
Una mujer está tocando una guitarra.,Un varón toca la guitarra.,2.4,train,0.48
Una mujer está cortando tomates.,Un hombre está cortando cebolla.,1.6,train,0.32
Un hombre nada bajo el agua.,Una mujer está nadando bajo el agua.,2.0,train,0.4
Un hombre nada bajo el masa de agua.,Una hembra adulta está nadando bajo el lluvia.,2.0,train,0.4
Un varón nada bajo el ho.,Una hembra adulta está nadando bajo el agua.,2.0,train,0.4
Un hombre y una mujer están hablando.,Un hombre y una mujer están comiendo.,1.6,train,0.32
Un marido y una mujer están hablando.,Un hombre y una mujer están comiendo.,1.6,train,0.32
Un mundo y una hembra adulta están hablando.,Un humanidad y una hembra adulta están comiendo.,1.6,train,0.32
Un pequeño perro está persiguiendo una pelota de yoga.,Un perro está persiguiendo una pelota.,4.0,train,0.8
Un menudo perro está persiguiendo una smoothie de yoga.,Un can está persiguiendo una balón.,4.0,train,0.8
Un pequeño perro está persiguiendo una smoothie de yoga.,Un can está persiguiendo una pelota.,4.0,train,0.8
Los hombres están jugando al cricket.,Los hombres están jugando al baloncesto.,2.2,train,0.44
Un hombre se va en una motocicleta.,Un hombre va en una motocicleta.,4.4,train,0.8800000000000001
Un marido se va en una motocicleta.,Un humanidad va en una motocicleta.,4.4,train,0.8800000000000001
Un humanidad se va en una motocicleta.,Un hombre va en una motocicleta.,4.4,train,0.8800000000000001
Un hombre está tocando una guitarra.,Un hombre está cantando y tocando la guitarra.,3.6,train,0.72
Un hombre está tocando una guitarra.,Un mundo está cantando y tocando la guitarra.,3.6,train,0.72
Un marido está tocando una guitarra.,Un esposo está cantando y tocando la guitarra.,3.6,train,0.72
El hombre habló por teléfono.,El hombre está hablando por teléfono.,3.6,train,0.72
El hombre habló por teléfono.,El hombre está hablando por número.,3.6,train,0.72
El mundo habló por número.,El hombre está hablando por número.,3.6,train,0.72
Un hombre está pescando.,Un hombre está haciendo ejercicio.,0.5,train,0.1
Un mundo está pescando.,Un humanidad está haciendo entrenamiento.,0.5,train,0.1
Un mundo está pescando.,Un hombre está haciendo ejercicio.,0.5,train,0.1
Un hombre está levitando.,Un hombre está hablando.,0.8,train,0.16
Un humanidad está levitando.,Un mundo está hablando.,0.8,train,0.16
Un hombre está levitando.,Un mundo está hablando.,0.8,train,0.16
Dos chicos están conduciendo.,Dos bahías están bailando.,0.6,train,0.12
Un hombre está montando a caballo.,Una chica está montando a caballo.,2.6,train,0.52
Un marido está montando a caballo.,Una pequeña está montando a caballo.,2.6,train,0.52
Un hombre está montando en bicicleta.,Un mono está montando una bicicleta.,2.0,train,0.4
Un humanidad está montando en bicicleta.,Un mono está montando una bicicleta.,2.0,train,0.4
Un humanidad está montando en bicicleta.,Un simio está montando una bicicleta.,2.0,train,0.4
Un hombre está cortando patatas.,Una mujer está pelando patatas.,2.2,train,0.44
Un hombre está cortando patatas.,Una hembra adulta está pelando patatas.,2.2,train,0.44
Un mundo está cortando patatas.,Una hembra adulta está pelando patatas.,2.2,train,0.44
Una mujer está pelando una patata.,Un hombre está cortando patatas.,2.4,train,0.48
Una mujer está pelando una patata.,Un esposo está cortando patatas.,2.4,train,0.48
Una mujer está pelando una coño.,Un hombre está cortando patatas.,2.4,train,0.48
Un hombre está tocando una guitarra.,Someoen está tocando la guitarra.,3.6,train,0.72
Un esposo está tocando una guitarra.,Someoen está tocando la guitarra.,3.6,train,0.72
Una mujer está cortando un puerro.,Una mujer está cortando jengibre.,2.2,train,0.44
Una hembra adulta está cortando un puerro.,Una hembra adulta está cortando jengibre.,2.2,train,0.44
Una hembra adulta está cortando un puerro.,Una mujer está cortando jengibre.,2.2,train,0.44
El hombre cortó un plato de papel.,Un hombre está cortando un plato de papel.,4.8,train,0.96
El esposo cortó un fuente de personaje.,Un marido está cortando un fuente de figura.,4.8,train,0.96
El hombre cortó un plato de línea.,Un hombre está cortando un plato de línea.,4.8,train,0.96
El hombre está tocando la guitarra.,Un hombre está tocando la flauta.,1.643,train,0.3286
El hombre está tocando la guitarra.,Un humanidad está tocando la flauta.,1.643,train,0.3286
El mundo está tocando la guitarra.,Un humanidad está tocando la flauta.,1.643,train,0.3286
Un hombre está tocando el piano.,El hombre está tocando el violín.,1.75,train,0.35
Un hombre está tocando el piano.,El varón está tocando el violín.,1.75,train,0.35
Un humanidad está tocando el piano.,El hombre está tocando el violín.,1.75,train,0.35
Una mujer está cortando carne.,Una mujer está empanando algo de carne.,2.25,train,0.45
Una hembra adulta está cortando forma.,Una mujer está empanando algo de forma.,2.25,train,0.45
Una hembra adulta está cortando carne.,Una hembra adulta está empanando algo de carne.,2.25,train,0.45
Un hombre está tocando en su teclado.,Un hombre está tocando un teclado de piano.,4.0,train,0.8
Un varón está tocando en su teclado.,Un hombre está tocando un clave de piano.,4.0,train,0.8
Un varón está tocando en su teclado de piano.,Un marido está tocando un teclado de piano.,4.0,train,0.8
La señora cortó las cebollas de verdeo.,La señora cortó una cebolla verde.,4.8,train,0.96
Alguien está sentando fideos en el agua.,Una mujer está hirviendo fideos en agua.,3.2,train,0.64
Lionel Richie está bailando en el techo.,Lionel Ritchie baila mientras está de pie en el techo.,4.0,train,0.8
Lionel Richie está bailando en el cubierta.,Lionel Ritchie baila mientras está de mano en el cubierta.,4.0,train,0.8
Lionel Richie está bailando en el techo.,Lionel Ritchie baila mientras está de mano en el tejado.,4.0,train,0.8
Un hombre está tocando el piano.,Una persona está tocando el piano.,4.4,train,0.8800000000000001
Un hombre está tocando el piano.,Una alguno está tocando el piano.,4.4,train,0.8800000000000001
Una mujer está tocando la flauta.,Una mujer toca la flauta.,4.6,train,0.92
Una hembra adulta está tocando la flauta.,Una hembra adulta toca la flauta.,4.6,train,0.92
Un chico está revisando un calendario.,Un chico está mirando un calendario.,3.8,train,0.76
Un chiquillo está revisando un calendario.,Un chico está mirando un calendario.,3.8,train,0.76
Un chico está revisando un calendario.,Un cría está mirando un calendario.,3.8,train,0.76
Una mujer está cortando una cebolla.,Una mujer está cortando cebollas.,4.8,train,0.96
Una mujer está cortando una cebolla.,Una hembra adulta está cortando cebollas.,4.8,train,0.96
Un hombre está tocando la guitarra.,Un hombre toca la guitarra.,4.857,train,0.9714
Una mujer está usando una máquina de coser.,Una mujer está cosiendo en una máquina.,5.0,train,1.0
Una hembra adulta está usando una máquina de coser.,Una mujer está cosiendo en una máquina.,5.0,train,1.0
Una hembra adulta está usando una coche de coser.,Una mujer está cosiendo en una máquina.,5.0,train,1.0
Una mujer está volteando panqueques.,Un chef de dibujos animados está haciendo panqueques.,2.533,train,0.5065999999999999
Una hembra adulta está volteando panqueques.,Un chef de dibujos animados está haciendo panqueques.,2.533,train,0.5065999999999999
Un hombre está corriendo en la carretera.,Un coche está conduciendo por la carretera.,1.0,train,0.2
Un mundo está corriendo en la vía rápida.,Un carro está conduciendo por la autopista.,1.0,train,0.2
Un hombre está corriendo en la autopista.,Un turismo está conduciendo por la vía rápida.,1.0,train,0.2
Un hombre está montando a caballo.,Un hombre está hablando por teléfono.,1.0,train,0.2
Un hombre está montando a heroína.,Un hombre está hablando por teléfono.,1.0,train,0.2
Un hombre está montando a caballería montada.,Un hombre está hablando por teléfono.,1.0,train,0.2
Un hombre está montando en bicicleta.,Un hombre está montando a caballo.,2.0,train,0.4
Un hombre está montando en bicicleta.,Un humanidad está montando a caballería.,2.0,train,0.4
Un hombre está montando en bicicleta.,Un varón está montando a heroína.,2.0,train,0.4
Una mujer está bailando.,Un hombre está comiendo.,0.143,train,0.0285999999999999
Una mujer está bailando.,Un esposo está comiendo.,0.143,train,0.0285999999999999
Un hombre está tocando el piano.,Un hombre está tocando una flauta.,2.0,train,0.4
Un marido está tocando el piano.,Un hombre está tocando una flauta.,2.0,train,0.4
Un varón está tocando el piano.,Un hombre está tocando una flauta.,2.0,train,0.4
Un hombre está tocando una flauta.,Un hombre está tocando el piano.,1.6,train,0.32
Un varón está tocando una flauta.,Un mundo está tocando el piano.,1.6,train,0.32
Un hombre está girando.,Un hombre está bailando.,1.6,train,0.32
Un mono se balancea de miembro a miembro.,Un mono se balancea de árbol en árbol.,3.4,train,0.6799999999999999
Un mono se balancea de miembro a miembro.,Un overol se balancea de árbol en árbol.,3.4,train,0.6799999999999999
Un overol se balancea de miembro a miembro.,Un simio se balancea de árbol en árbol.,3.4,train,0.6799999999999999
